ID,question,answer,relavant_document
211,"Who is accused of pretending to be a Trump supporter in toxic messages posted on 2024-07-02 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Greg,"That’s because you are shit Greg pretending to be a Trump supporter when you work for Rupert Murdoch you controlled opposition, Greg you’re the worst kind of scumbag."
212,"Who is referred to as Putin's dog in toxic messages posted on 2024-07-06 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Orban,"Orban must know that he is only putins dog. And Baerbock is the foreign minister of Germany , how can he dare it. Fuck Orban!"
213,"What can Macron send to Ukraine in toxic messages posted on 2024-07-07 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",The French foreign legion,So Macron can now send the French foreign legion to Ukraine. Fuck you putin
214,"Who did the White House send to Moscow in November 2021 in toxic messages posted on 2024-07-08 talking about Vladimir Putin on the ""UNITED24Media Chat"" group chat?",Burns,You come on here and say the dumbest shit. US intelligence put putins plans together in October of 21 and made a determination RU was going to invade UKR to include invasion routes. The white house sent burns to Moscow to tell them of the consequences in Nov and started briefing zelensky and nato.
215,"Who is accused of being a Putin puppet in toxic messages posted on 2024-07-10 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Modi,"Modi, the fucking Putin puppet!"
216,"What search engine is humorously suggested Putin uses in toxic messages posted on 2024-07-11 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Bing,I bet that bitch Putin uses Bing as his search engine.
217,"Who is described as a 'scared little bitch' in toxic messages posted on 2024-07-12 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Germany,Germany is a scared little bitch. Terrified of Putin. Little bitch scholtz
218,"Who is accused of licking Putin's ass in toxic messages posted on 2024-07-13 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Trump,"Trump is the one who licks putin's ass, so who is the communist party?"
219,"What is Trump accused of being too friendly with in toxic messages posted on 2024-07-14 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Putin,"I think you might be a bit of an idiot. You can fault Trump for being too friendly to Putin on the first round. But the advantage of trump, same as Putin, now, is you simply don't know what he will do. It's beautiful"
220,"What is the claim about Trump's legal status in toxic messages posted on 2024-07-03 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Not a convicted felon,Trump is not a convicted felon. I hope he sues the shit out of everybody.
221,"Who is described as Xi's subordinate in toxic messages posted on 2024-07-15 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Putin,"No, of course not. Putin is Xi's bitch now!"
222,"Who is allies with Iran in toxic messages posted on 2024-07-16 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Putin,"This fucking idiot, does he not realize that his man crush Putin is allies with Iran."
223,"Who is described as Putin's little bitch in toxic messages posted on 2024-07-17 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Trump,Trump is Putin's little bitch
224,"What percentage of Austrian gas imports are Russian in toxic messages posted on 2024-07-19 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",90%,"Austrian here. Still 90% of our gas imports are russian. To put it mildly, it's a disgrace. And its even harder, because of Hungary and Slovakia its really tight and uncomfortable in Putins anus."
225,"Who is described as an imbecile in toxic messages posted on 2024-07-21 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Trump,"Putin is Hitler, Trump is just an imbecile"
226,"What is Orban accused of doing after bombs are dropped on children's hospitals in toxic messages posted on 2024-07-22 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Shaking hands with Putler,Well Orban doesn’t make it easy for other leaders to publicly make deals with him because he fucking shakes hands with Putler after he drops bombs on children’s hospitals in Ukraine. It is beyond stupid for Orban.
227,"Which party in Switzerland is accused of profiting from supporting Putin in toxic messages posted on 2024-07-27 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",SVP,The far-right SVP party is licking Putin's arse to make its own profit. Right-wing parties (SVP) are the evil of Switzerland.
228,"How many nations support Ukraine in toxic messages posted on 2024-07-03 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",52,52 nations support Ukraine. Trump is a moron.
229,"What color is Putin's tie mentioned in toxic messages posted on 2024-08-08 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Blue,Even his tie is blue. FUCK PUTIN.
230,"What is suggested to be given to Ukraine in toxic messages posted on 2024-08-10 talking about Vladimir Putin on the ""Pilot Blog Chat"" group chat?",Kursk,I am waiting for Musk and Trump to tell putin to give Kursk to Ukraine in the name of peace and lives..... but the tongues of them are to busy licking the anus of putin.
231,"What is Trump's plan referred to as in toxic messages posted on 2024-07-04 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Agenda 47,Project 2025 is not Trump its propaganda from the heritage foundation. Agenda 47 is Trumps plan. Fucktards.
232,"Who is accused of being a Russian propagandist in toxic messages posted on 2024-07-18 talking about Elon Musk on the ""Pilot Blog Chat"" group chat?",Musk,Fuck musk he's a russian propagandist. It's related to ukraine. You only like him because you're right wing and anti liberal
233,"What was Elon Musk's role at SpaceX for a decade in toxic messages posted on 2024-07-19 talking about Elon Musk on the ""Pilot Blog Chat"" group chat?",Chief engineer,"Sorry, but this single thought is a prove that you are stupid.

First of all, when he came to the US at 17 he had 4000$. So you need some genius to make money first. He sold PayPal and spent it all on Tesla and SpaceX.

He was the chief engineer at SpaceX for a decade, you moron. He was there designing things and many super-smart people working with him confirmed that he was crazy good at engineering and thinking like a genius.

Even leading Tesla, SpaceX, Boring, and XAI at the same time is a crazy genius. So sorry but you are a small brain to not even understand it.

Saying that of course his teams are doing most of the things and he always praises them and calls them out for the amazing work they did. But thinking that you just pay and the company somehow grows itself is crazy stupid."
234,"What is Elon Musk accused of doing for over a decade in toxic messages posted on 2024-07-30 talking about Elon Musk on the ""Pilot Blog Chat"" group chat?",Scamming people,"Just ignore Musk! He is stupid attention seeker. You just make him free advertisement by pointing out his stupid tweets. He scams people for more than a decade, customers, investors and employees. Dumm and susceptible people will keep paying attention to him. But why do we have to? He is socially stupid. He shouldn't be quoted"
235,"Who is described as Putin's bitch in toxic messages posted on 2024-07-05 talking about Viktor Orban on the ""Pilot Blog Chat"" group chat?",Orban,Orban is backstabbing piece of shit 💩💩 and Putins bitch
236,"What is Orban referred to as in a message in toxic messages posted on 2024-07-08 talking about Viktor Orban on the ""Pilot Blog Chat"" group chat?",Real idiot,Now we can call Orban a 'real idiot'
237,"What is Hungary referred to as in the EU in toxic messages posted on 2024-07-16 talking about Viktor Orban on the ""Pilot Blog Chat"" group chat?",The black sheep,"Hungary , the black sheep in EU , Hungarian corrupt government , those Idiots lick Putins ass !"
238,"What action is suggested against Orban in relation to NATO and the EU in toxic messages posted on 2024-07-20 talking about Viktor Orban on the ""Pilot Blog Chat"" group chat?",Kick out,Kick Orbans Fat Ass out of NATO and EU. Isolating its borders and shitizens until they grow up
239,"What is Orban accused of being in relation to Putin in toxic messages posted on 2024-07-23 talking about Viktor Orban on the ""Pilot Blog Chat"" group chat?",Putin sock puppet,"Orban is a gutless, spineless cowardly putin sock puppet. The only reason Ukraine stopped the shipments is this company is sanctioned by the EU and NATO. FUCK ORBAN. Kick him out of the EU and NATO"
240,"From what people are drinking water in toxic messages posted on 2024-06-14 talking about Hamas on the ""Middle East Brawls"" group chat?",Plastic bags,Thank you ham ass now we drink water from plastic bags
241,"What is the only place left in toxic messages posted on 2024-06-22 talking about Hamas on the ""Middle East Brawls"" group chat?",Rafah,"Nope, because nobody said they would end ham-ass in 1 month, you're just making shit up as usual! The only place left is rafah, and of the 4 battalions there, 2 have been eliminated already. 22 of 24 finished, only 2 to go! Face facts, loser!"
242,"What did the Israeli people demand in toxic messages posted on 2024-06-27 talking about Hamas on the ""Middle East Brawls"" group chat?",Complete destruction of Hamas,The Israeli people demand a complete destruction of Hamas. You fucked up this time.
243,"How many Hamas terrorists were reportedly killed by the IDF in toxic messages posted on 2024-06-29 talking about Hamas on the ""Middle East Brawls"" group chat?",20000,"The IDF that lost less than 2000 people but killed 20,000 hamas terrorists are shitting themselves🥺"
244,"Who cheered for the death of Syrian children in toxic messages posted on 2024-07-04 talking about Hamas on the ""Middle East Brawls"" group chat?",Haniyeh,"I dont give a fuck, haniyeh cheered for death of Syrian children now his ones are in hell"
245,"How many battalions did Hamas reportedly lose in toxic messages posted on 2024-07-05 talking about Hamas on the ""Middle East Brawls"" group chat?",22,Whatever you loser! Ham-ass lost 22 of their 24 battalions! Keep coping harder lol 😂😂😂
246,"Who is described as Trump's useful idiot in toxic messages posted on 2024-06-17 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Lindsey,Lindsey is Trumps useful idiot.
247,"What is hidden among weapons in a kindergarten in toxic messages posted on 2024-07-06 talking about Hamas on the ""Middle East Brawls"" group chat?",Terror money,that's terror money u stupid and as u can c it's in a kindergarden where it was hidden among weapons that's how cowards u are u dumbfuck
248,"What is Hamas described as in the Middle East in toxic messages posted on 2024-07-08 talking about Hamas on the ""Middle East Brawls"" group chat?",The weakest bitch,Hamas is the weakest bitch in the middle east
249,"What country is mentioned as having expelled terrorists in toxic messages posted on 2024-07-14 talking about Hamas on the ""Middle East Brawls"" group chat?",Kuwait,Trouble and murder wherever they go. Hell even Kuwait kicked their terrorist asses out.
250,"Where is Hamas said to be located in toxic messages posted on 2024-07-23 talking about Hamas on the ""Middle East Brawls"" group chat?",in the tunnels,Hamas is in the tunnels u lying rat
251,"Who is mentioned as being next after Palestine and Hamas in toxic messages posted on 2024-07-26 talking about Hamas on the ""Middle East Brawls"" group chat?",Iran,"Don’t worry bro😉 we are gonna help Israel. After Palestine and Hamas, Iran and these fuckers are next."
252,"What is Biden accused of having in toxic messages posted on 2024-07-06 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",Dementia,Trump can eat a bag of dicks. If you cannot see that Biden has had dementia and is unfit to lead then please stop posting and voting.
253,"Which country is suggested to be kicked out of NATO and the EU in toxic messages posted on 2024-07-11 talking about NATO on the ""Pilot Blog Chat"" group chat?",Hungary,Kick Hungary out of EU and NATO. Orban shaking the hands of a child killer and wanted criminal for child abduction. Fuck you Orban. Disgraceful pig bastard.
254,"Which country is suggested to join a coalition of devils in toxic messages posted on 2024-07-08 talking about European Union on the ""Pilot Blog Chat"" group chat?",Hungary,We don't want to be friends with China or Nort-Korea and we absolutely don't want to be friends with Russia and Belarus. So Hungry can join this coalition of devils if they want to but I don't want this asshole to represent the EU!
255,"What test did Trump take before the debate in toxic messages posted on 2024-07-07 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Cognitive Test,Trump did take a Cognitive Test before the debate and PASSED. You made a mute point asshole!
256,"Which country is referred to as 'subsidy whores' of the EU in toxic messages posted on 2024-07-11 talking about European Union on the ""Pilot Blog Chat"" group chat?",Hungary,Hungary the subsidy whores of the EU
257,"What is Hungary referred to as in the EU in toxic messages posted on 2024-07-16 talking about European Union on the ""Pilot Blog Chat"" group chat?",The black sheep,"Hungary , the black sheep in EU , Hungarian corrupt government , those Idiots lick Putins ass !"
258,"Who is suggested to be kicked out of the EU in toxic messages posted on 2024-07-22 talking about European Union on the ""Pilot Blog Chat"" group chat?",Orban,Kick Orban out of EU.
259,"What is Orban accused of breaking in toxic messages posted on 2024-07-23 talking about European Union on the ""Pilot Blog Chat"" group chat?",EU law,mhm i wonder what is the reason they hate orban....maybe because...he breaks EU law? are you paid to suck orban's dick online all day or something?
260,"What percentage of cabinet members support him in toxic messages posted on 2024-06-28 talking about Republicans on the ""Pilot Blog Chat"" group chat?",10 percent,"Deez, explain why only about 10 percent of his cabinet members and other top ranked officials - republicans - only 10% support him now. All that work with him ( 90%) turn against him because, do not support his reelection… he is a power hungry idiot with no brain."
261,"What is the Republican Party accused of doing in toxic messages posted on 2024-07-01 talking about Republicans on the ""Pilot Blog Chat"" group chat?",Kneeling before Putin,"Unfortunately, these old conservatives no longer exist. The Republican Party consists only of bootlickers who kneel before Putin."
262,"What is the political stance of both main parties regarding Ukraine in toxic messages posted on 2024-07-04 talking about Republicans on the ""Pilot Blog Chat"" group chat?",Support,"Both main parties are steadfast in their support for Ukraine, so there’s nothing to worry about on that front. Looking forward to finally getting rid of this bunch of incompetents, idiots and lunatics…"
263,"What is the hashtag used to express a desire to revisit the 2020 election in toxic messages posted on 2024-07-14 talking about Republicans on the ""Midnight Rider Chat 🇺🇸"" group chat?",#FIX2020IN2024,I canNOT listen to that corrupt vermin lying POS....YOUR AN EVIL THING....YOU BELONG TO THE EVIL SIDE OF ALL OF THIS.  GO TO HELL!!!! #MAGA #GODBLESSAMERICA #FIX2020IN2024
264,"Who is said to have captured 81 million votes in toxic messages posted on 2024-07-16 talking about Republicans on the ""Pilot Blog Chat"" group chat?",Biden,"If you’re an American, you’re an absolute disgrace. You don’t have enough fucking sense to be speaking for yourself, much less 100M other Americans. Biden captured 81M votes and there’s no way in Hell there’s that many registered Republicans so your 100M figure just shows you ignorance. Trump is a coward. He lied to get out of the Vietnam military service obligation. He heard the secret service agent say “shooter down” just like the rest of us, Clown. He didn’t do a damn thing heroic. He never spoke or moved until hearing that. He’s a disgusting human being, a felon and a narcissist unable to admit his mistakes. As for how you talk on here about Denys, you should be kicked off by admin for disrespect and for being a piece of shit. 🖕🏼"
265,"What is MAGA compared to in terms of its effect in toxic messages posted on 2024-07-17 talking about Republicans on the ""Pilot Blog Chat"" group chat?",Virus,MAGA itself is a Virus. Effect on you: it destroy your brain and makes you (more) stupid😁
266,"What is the only good RINO according to the message in toxic messages posted on 2024-07-18 talking about Republicans on the ""Midnight Rider Chat 🇺🇸"" group chat?",A dead one,Nobody gives a shit about these fucking RINOs. A good RINO is a dead one!
267,"Who is accused of being a MAGA grifter in toxic messages posted on 2024-07-22 talking about Republicans on the ""Midnight Rider Chat 🇺🇸"" group chat?",Posobiec,Jack just makes it up and then shit posts. Posobiec is just a MAGA grifter.
268,"What is Trump accused of trying to end in toxic messages posted on 2024-07-08 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",Democracy,Trump is an arrogant ignorant pathological liar who tried to end democracy .. his stupidity is dangerous to the global community .. he has no morals or ethics ..
269,"Who is described as jealous of the Biden administration in toxic messages posted on 2024-08-04 talking about Republicans on the ""Pilot Blog Chat"" group chat?",Trump,"Trump is such a piece of shit. Hes jealous that he couldn't pull it off, so hes bashing the Biden admin. Truly a self centered dumb fuck that only cares about himself not America or getting our people home safe. Fucking republican filth. Vote Democrat. Harris 2024"
270,"What do the fundamental principles of the Democrats reject in toxic messages posted on 2024-06-17 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",God and human nature,"Democrats cannot govern, because their fundamental principles deny God and human nature."
271,"What term is used to describe the FBI in toxic messages posted on 2024-06-20 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Democrats Gestapo,Any FBI 'raid' is just bullshit. They're covering their asses and/or planting evidence. Remember this is the same FBI that LIED about the Trump/Russia nonsense. The FBI is literally the Democrats Gestapo!
272,"What song did Trump thank the Egyptian president for in toxic messages posted on 2024-07-09 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",Walk Like an Egyptian,"Just to put trumps previous attempts at world politics into context. His own aide spoke of how during a phone conversation with the Egyptian president, trump thanked him for the song he really liked , walk like an Egyptian.🤣😂🤣😂 The man is truly dumb as dog shit 💩 😁"
273,"Who is quoted about kids voting Democrat in toxic messages posted on 2024-06-26 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Jim Clyburn,"""If your kids don't vote Democrat, they're dumber than a mule..."" -Jim Clyburn

You go get'em Jim... Tell the youngin's they're stupid... I've never seen it work before, but hey, go to town... 😂

Lighting the M80 while it's still in your pocket is always a good attention getter... 🤣"
274,"What is South Jersey referred to as in toxic messages posted on 2024-06-29 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Trump Country,No surprise there. It is more than that. The Dem cheat machine has been long-time in NJ. South Jersey is Trump Country.
275,"What are the two types of people in the Democratic base in toxic messages posted on 2024-06-30 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Evil and Stupid,"There are only two types of people in the Democratic base, Evil and Stupid. That’s it. There is no in between."
276,"What percentage of land did Ukraine lose in toxic messages posted on 2024-07-01 talking about Democrats on the ""Pilot Blog Chat"" group chat?",20%,"Ukraine lost 20% of the land with “democrats “,and you still kissing their ass."
277,"What percentage of America is described as stupid or corrupt in toxic messages posted on 2024-07-03 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",42 percent,Can't believe 42 percent of America is that stupid or corrupt.
278,"Which city is mentioned in relation to idiotic Democrat voters in toxic messages posted on 2024-07-07 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Oakland,It’s not the cops fault for the idiotic democrat voters in Oakland.
279,"Who is accused of being a 'democrat shill' in toxic messages posted on 2024-07-08 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Rory,Now we know Rory is a democrat shill here to sow discord. Good luck with all that shit talking shill!!
280,"What is the Democrat motto in toxic messages posted on 2024-07-11 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",If you vote stupid.-Stupid is what you get.,Democrat motto: If you vote stupid.-Stupid is what you get.
281,"Who is referred to as a traitor in toxic messages posted on 2024-07-13 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Nicolle Wallace,"Nicolle Wallace, the token Democrat in Republican garb. Fucking TRAITOR."
282,"What is Minnesota described as in toxic messages posted on 2024-07-17 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Stupid,Nothing surprises me here in stupid Minnesota 😩 stubborn brainwashed Democrats here
283,"What is the former Chief of Staff's situation in toxic messages posted on 2024-07-19 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",In jail,"Former Chief of Staff is in jail because of Commie Dems, idiot."
284,"What city is described as demoncrap shithole in toxic messages posted on 2024-07-20 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Dallas,Noooooo! Dallas is a demoncrap shithole!
285,"Who is described as a narcissistic sociopath in toxic messages posted on 2024-06-17 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",Trump,"Trump is a narcissistic sociopath, plus he is bought and paid for by Putin...Traitor to western democracies."
286,"What is Kamala accused of being responsible for in toxic messages posted on 2024-07-23 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Border invasion,"Deep State Democrats are LIARS. Cunning Deceitful Dishonest Habitual LIARS. The Deep State Democrats Scheme & PLAN. OBAMA used Pedo Joe. For 6 Years they knew Pedo Joe had Dementia. Now they SWAP in a Drugged Up Amoral Idiot. Kamala Harris has been RESPONSIBLE FOR THE BORDER for FOUR YEARS. BORDER INVASION. 10 Million Illegal Invaders. 85,000 Children Missing."
287,"What should West Europe have found an alternative to since two years ago in toxic messages posted on 2024-07-23 talking about Democrats on the ""Pilot Blog Chat"" group chat?",Russian gas and oil,"west Europe must find a alternative to russian gas and oil and whatever ,,,,,,   fuckkkkk ,,,  since 2 years ago.........   not now.....   that should have been a gol in 2022  ,,,,,,   fucking politics ...   this is why radicals and right wings are growing,, because people start doubting of democrats and conservs and whatever"
288,"What syndrome is mentioned in relation to stupidity in toxic messages posted on 2024-07-25 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Stockholm syndrome,Stockholm syndrome of stupidity... Society are too stupid to comprehend because Stockholm syndrome.
289,"Who was described as having dementia for six years in toxic messages posted on 2024-07-26 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Biden,Please Note. The Assassination was unsuccessful. SO. Biden was dumped. Biden has had Dementia & has barely been Functioning for 6 years. Now SUDDENLY the OBAMA Deep State Democrat CRIMINALS PLAN B. SO. Kamala Harris who has been Chief in the Conspiracy to Hide Biden is trundled forward. SO. OBAMA'S Mannequin Drunk/Drugged/Laughing Idiot Kamala Harris.
290,"What event is mentioned as the last time the speaker followed MSM news in toxic messages posted on 2024-07-27 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Desert Storm,"You will never convince democrats of any age to stop watching msm. I’m 67, almost 68. I haven’t followed msm news since Desert Storm and that was just for the Daily Briefing they covered. So, you are wrong about old people. I believe young people believe everything they see on the internet!!"
291,"What is Kamala Harris accused of needing for her campaign in toxic messages posted on 2024-08-01 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Photo ops,Could be Kamal-toe NEEDS SOME PHOTO OPS FOR HER CAMPAIGN...Can't have homeless veterans in the street ruining her drive photo and video shoots...  THIS IS PURELY A DEMON-RAT PARTY OPERATION... You DON'T SEE TRUMP PULLING THIS SHIT DO YA!
292,"What phrase is used to describe the voting behavior of some Democrats in toxic messages posted on 2024-08-02 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",blue-no-matter-who,"It's that ""blue-no-matter-who"" constantly echoed by the Left. Suppose the nominee doesn't matter in a rigged election."
293,"Who is accused of being a RINO in toxic messages posted on 2024-08-04 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Kemp,Kemp is popular for being a RINO bitch other than that nobody but dems like that guy 😄
294,"Which state is referred to as a 'another Democrat Shithole' in toxic messages posted on 2024-08-05 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Michigan,"Michigan, another Democrat Shithole"
295,"Who is being blackmailed by Democrats in toxic messages posted on 2024-08-06 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Graham,Rino and gay thinks we are stupid. Yet democrats are blackmailing Graham 🤦🏼‍♀️
296,"What did Trump used to be in toxic messages posted on 2024-08-08 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Democrat,Trump used to be a democrat. People change their minds. Look at all the democrats crossing over to the good side.
297,"Who is accused of being a terrorist organization in toxic messages posted on 2024-08-09 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Democrats,DemoRats suck in so many ways...they are literally a terrorist organization
298,"Who is considered a danger to Biden and Dem criminals in toxic messages posted on 2024-08-11 talking about Democrats on the ""Midnight Rider Chat 🇺🇸"" group chat?",Trump,He is a danger to Biden and Dem criminals! He will put them in jail! Trump has already been President! Were we in danger? Asshole!🤬
299,"Which country's leadership is criticized for being corrupt in toxic messages posted on 2024-06-18 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",South Africa,As a South African I apologise for the Corrupt Morons in charge here. Before the 1994 change the ANC military wing was sponsored by the Orcs . They were a banned party. Now lots of the black community vote for them and the educated minority has to go along with whatever imbeciles are in charge
300,"What does the speaker suggest the russian soldiers should do in toxic messages posted on 2024-06-20 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Get out of Ukraine,"Easy, the orcs just have to GET THE FUCK OUT of Ukraine"
301,"What do the invaders come to do in toxic messages posted on 2024-06-22 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Kill Ukrainians,"Well whatever name you call them, they are still invaders with guns come to kill Ukrainians. Kill or be killed."
302,"What is Russia compared to in toxic messages posted on 2024-06-30 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",A circus,😂😂😂😂 no fire fighters... No ammo.. no armour... And NO brains for pig pooshit.😝😂😂 Russia is a fucking circus.
303,"What is the consequence mentioned for the Russian military's attitude in toxic messages posted on 2024-07-01 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Russia is going to lose lots more planes,"For as long as Russian military is going to take it as a joke, Russia is going to loose lots more planes… Seems like none is safe from stupidity…"
304,"What type of weapons do the Russian use in toxic messages posted on 2024-07-02 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Thermobaric,"The Russian bastards use thermobaric weapons , what goes around comes around, stiff bikkies ! Burn or go home !"
305,"What is the name for Russian military gear in toxic messages posted on 2024-07-02 talking about Russian Soldiers (ORCS) on the ""Ukraine Watch Chat"" group chat?",Ratnik,Ratnik is a name for russian miltary gear😂😂😂
306,"Who needs Trump in toxic messages posted on 2024-07-13 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Germany,FUCK... i hope not. Germany needs TRUMP!!!!!
307,"Who is described as a bunch of clowns in toxic messages posted on 2024-07-11 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Russians,Russian’s are a bunch of clowns! They know there time is up very soon…..
308,"What does the devil speak in toxic messages posted on 2024-07-12 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Russian,Evil bastards. The devil speaks Russian
309,"What do Russians keep thinking in toxic messages posted on 2024-07-13 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",They're not at war,God Ruzzians are dumb. They keep thinking they're not at war.
310,"What is the UN accused of being in toxic messages posted on 2024-07-15 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",bullshit,Whole UN is a bullshit. They don't do a shit about example ruzzkies behavior.
311,"What is lying compared to for Russians in toxic messages posted on 2024-07-16 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Breathing,Usual Russian bullshit. It just shows how stupid these people are if they think for one minute that anyone believes them. Lying is as natural to Russians as breathing.
312,"What percentage of Russian people are claimed to watch propaganda in toxic messages posted on 2024-07-17 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",1%,"Stop watching ukr media
Ru people are very kind
I live here and can say that for sure
Only 1% of ru people watch that propaganda shit"
313,"What is the conclusion about the person being addressed in toxic messages posted on 2024-07-18 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?","Russian troll, an idiot, or both","My conclusion is you are a russian troll, an idiot, or both."
314,"What is Russia accused of being in toxic messages posted on 2024-07-19 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",A terrorist country,"Again murdering more civilians and children!

The only thing these Nazi Ruzzians can do! Attacking innocent civilians and defenseless peaceful people and animals 🖕

Russia is nothing but a terrorist country!"
315,"What is the suggested fate for Russian soldiers in toxic messages posted on 2024-07-20 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Burn in Hell,These Russian soldiers will burn 🔥in Hell for sure
316,"What is a characteristic of a Russian soldier in toxic messages posted on 2024-07-21 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",imbecile,Characteristics of a Russian soldier: imbecile
317,"What did the Duma take away in toxic messages posted on 2024-07-23 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Cell phone,The fu*king Duma took away my cell phone! I had to go all the way back to base to ask for more ammunition. Fuuuuuuuuu*k!
318,"Who is expected to fuck the Russians in toxic messages posted on 2024-07-27 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Uzbeks,Now uzbeks will fuck the russians.
319,"What tactic is said not to work with the russian soldiers in toxic messages posted on 2024-08-01 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Scaring tactic,"From the beginning of the war to now, what I don’t understand is why let the enemy know what you got, what you getting, Putin have shown he doesn’t give a fuck he just want Ukraine. Scaring tactic don’t work with the fuck orcs, just fuck them up that it"
320,"What is the target mentioned to disrupt Russian plans in toxic messages posted on 2024-08-02 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",Kerch bridge,First job at hand should be a plan to take out putins baby the Kerch bridge. Get at er fellas. That will wake up Putin and scramble the orks plans. Go home Russia and stop acting like two year olds that think what ever they want is theirs. Your evil Putin ! Rott in hell one day you fucking coward!!!! The 🌎 sees u….
